iter |           obj |        instat |          step | tr_fail
 164 |  1.344493e+00 |  3.728144e-03 |  1.464844e-03 |       0
 165 |  1.344490e+00 |  2.557882e-03 |  1.464844e-03 |       0
 166 |  1.344487e+00 |  2.493676e-03 |  1.464844e-03 |       1
 167 |  1.344484e+00 |  2.162492e-03 |  1.464844e-03 |       0
 168 |  1.344479e+00 |  3.657844e-03 |  1.464844e-03 |       0
 169 |  1.344476e+00 |  1.888075e-03 |  1.464844e-03 |       1
 170 |  1.344472e+00 |  3.872672e-03 |  1.464844e-03 |       0
 171 |  1.344469e+00 |  3.054709e-03 |  2.929688e-03 |       0
 172 |  1.344465e+00 |  2.541769e-03 |  1.464844e-03 |       1
 173 |  1.344461e+00 |  2.393440e-03 |  1.464844e-03 |       0
 174 |  1.344458e+00 |  2.545132e-03 |  1.464844e-03 |       1
 175 |  1.344455e+00 |  1.718800e-03 |  1.464844e-03 |       0
 176 |  1.344452e+00 |  4.103386e-03 |  1.464844e-03 |       0
 177 |  1.344448e+00 |  2.736942e-03 |  1.464844e-03 |       0
 178 |  1.344445e+00 |  2.482318e-03 |  1.464844e-03 |       0
 179 |  1.344442e+00 |  2.405750e-03 |  1.464844e-03 |       0
 180 |  1.344440e+00 |  3.750703e-03 |  1.464844e-03 |       0
 181 |  1.344438e+00 |  2.917913e-03 |  1.464844e-03 |       0
 182 |  1.344434e+00 |  2.161876e-03 |  1.464844e-03 |       0
 183 |  1.344430e+00 |  2.139288e-03 |  1.464844e-03 |       0
 184 |  1.344428e+00 |  2.726103e-03 |  1.464844e-03 |       1
 185 |  1.344425e+00 |  3.411491e-03 |  1.464844e-03 |       0
 186 |  1.344423e+00 |  2.054055e-03 |  1.464844e-03 |       0
 187 |  1.344420e+00 |  4.137549e-03 |  1.464844e-03 |       0
 188 |  1.344416e+00 |  2.452546e-03 |  1.464844e-03 |       0
 189 |  1.344414e+00 |  2.727906e-03 |  1.464844e-03 |       0
 190 |  1.344411e+00 |  2.124812e-03 |  1.464844e-03 |       0
 191 |  1.344409e+00 |  3.732303e-03 |  1.464844e-03 |       0
 192 |  1.344407e+00 |  2.588561e-03 |  1.464844e-03 |       0
 193 |  1.344405e+00 |  2.179008e-03 |  1.464844e-03 |       0
 194 |  1.344403e+00 |  2.329372e-03 |  1.464844e-03 |       0
 195 |  1.344400e+00 |  3.207656e-03 |  1.464844e-03 |       0
 196 |  1.344396e+00 |  2.592464e-03 |  1.464844e-03 |       0
 197 |  1.344387e+00 |  2.674067e-03 |  2.929688e-03 |       0
 198 |  1.344384e+00 |  4.163601e-03 |  2.929688e-03 |       1
 199 |  1.344380e+00 |  1.801752e-03 |  1.464844e-03 |       1
iter |           obj |        instat |          step | tr_fail
-----+---------------+---------------+---------------+--------
 200 |  1.344376e+00 |  3.620066e-03 |  1.464844e-03 |       0
 201 |  1.344373e+00 |  2.747899e-03 |  1.464844e-03 |       1
 202 |  1.344370e+00 |  2.440436e-03 |  1.464844e-03 |       0
 203 |  1.344369e+00 |  1.983997e-03 |  7.324219e-04 |       1
 204 |  1.344367e+00 |  4.505833e-03 |  1.464844e-03 |       0
 205 |  1.344364e+00 |  2.494847e-03 |  1.464844e-03 |       0
 206 |  1.344361e+00 |  1.286735e-03 |  1.464844e-03 |       0
 207 |  1.344358e+00 |  6.605626e-03 |  2.929688e-03 |       0
 208 |  1.344354e+00 |  3.052281e-03 |  1.464844e-03 |       1
 209 |  1.344352e+00 |  1.456679e-03 |  1.464844e-03 |       0
 210 |  1.344351e+00 |  4.009016e-03 |  1.464844e-03 |       0
 211 |  1.344347e+00 |  2.086632e-03 |  1.464844e-03 |       0
 212 |  1.344342e+00 |  2.097090e-03 |  1.464844e-03 |       0
 213 |  1.344335e+00 |  2.181521e-03 |  2.929688e-03 |       0
 214 |  1.344334e+00 |  3.189401e-03 |  7.324219e-04 |       3
 215 |  1.344332e+00 |  2.182135e-03 |  7.324219e-04 |       0
 216 |  1.344328e+00 |  2.160069e-03 |  1.464844e-03 |       0
 217 |  1.344326e+00 |  2.178196e-03 |  1.464844e-03 |       1
 218 |  1.344324e+00 |  1.277778e-03 |  1.464844e-03 |       0
 219 |  1.344321e+00 |  3.012655e-03 |  1.464844e-03 |       0
 220 |  1.344319e+00 |  1.458993e-03 |  1.464844e-03 |       0
 221 |  1.344319e+00 |  1.526356e-03 |  9.155273e-05 |       4
 222 |  1.344318e+00 |  1.615469e-03 |  1.831055e-04 |       0
 223 |  1.344317e+00 |  2.002785e-03 |  3.662109e-04 |       0
 224 |  1.344316e+00 |  1.676263e-03 |  7.324219e-04 |       0
 225 |  1.344312e+00 |  1.652631e-03 |  1.464844e-03 |       0
 226 |  1.344306e+00 |  1.641197e-03 |  2.929688e-03 |       0
 227 |  1.344294e+00 |  1.675381e-03 |  5.859375e-03 |       0
 228 |  1.344293e+00 |  2.223589e-03 |  1.464844e-03 |       3
 229 |  1.344292e+00 |  1.868717e-03 |  1.464844e-03 |       0
 230 |  1.344289e+00 |  2.830061e-03 |  1.464844e-03 |       0
 231 |  1.344288e+00 |  1.975111e-03 |  7.324219e-04 |       1
 232 |  1.344287e+00 |  2.170542e-03 |  7.324219e-04 |       0
 233 |  1.344285e+00 |  1.465942e-03 |  7.324219e-04 |       0
 234 |  1.344284e+00 |  4.256659e-03 |  1.464844e-03 |       0
 235 |  1.344281e+00 |  2.039494e-03 |  1.464844e-03 |       0
 236 |  1.344280e+00 |  1.360480e-03 |  7.324219e-04 |       1
 237 |  1.344279e+00 |  2.430465e-03 |  7.324219e-04 |       0
 238 |  1.344278e+00 |  1.515088e-03 |  7.324219e-04 |       1
 239 |  1.344278e+00 |  1.701744e-03 |  1.831055e-04 |       2
 240 |  1.344277e+00 |  1.431429e-03 |  3.662109e-04 |       0
 241 |  1.344276e+00 |  2.567223e-03 |  7.324219e-04 |       0
 242 |  1.344275e+00 |  1.567124e-03 |  7.324219e-04 |       1
 243 |  1.344273e+00 |  1.116034e-03 |  1.464844e-03 |       0
 244 |  1.344272e+00 |  3.581749e-03 |  1.464844e-03 |       1
 245 |  1.344270e+00 |  1.714942e-03 |  1.464844e-03 |       0
 246 |  1.344269e+00 |  1.164110e-03 |  7.324219e-04 |       1
 247 |  1.344267e+00 |  1.858572e-03 |  7.324219e-04 |       0
 248 |  1.344266e+00 |  1.079441e-03 |  7.324219e-04 |       0
 249 |  1.344266e+00 |  3.859595e-03 |  1.464844e-03 |       0
iter |           obj |        instat |          step | tr_fail
-----+---------------+---------------+---------------+--------
 250 |  1.344264e+00 |  2.145613e-03 |  7.324219e-04 |       1
 251 |  1.344263e+00 |  2.220651e-03 |  7.324219e-04 |       0
 252 |  1.344262e+00 |  1.179595e-03 |  7.324219e-04 |       0
 253 |  1.344261e+00 |  1.722806e-03 |  3.662109e-04 |       2
 254 |  1.344261e+00 |  1.231651e-03 |  7.324219e-04 |       0
 255 |  1.344260e+00 |  1.919052e-03 |  7.324219e-04 |       0
 256 |  1.344259e+00 |  1.525338e-03 |  7.324219e-04 |       0
 257 |  1.344258e+00 |  1.317475e-03 |  7.324219e-04 |       0
 258 |  1.344257e+00 |  1.348773e-03 |  7.324219e-04 |       0
 259 |  1.344256e+00 |  1.870368e-03 |  7.324219e-04 |       0
 260 |  1.344256e+00 |  1.321886e-03 |  3.662109e-04 |       1
 261 |  1.344255e+00 |  1.288154e-03 |  7.324219e-04 |       0
 262 |  1.344254e+00 |  2.397553e-03 |  7.324219e-04 |       1
 263 |  1.344253e+00 |  1.083279e-03 |  1.464844e-03 |       0
 264 |  1.344251e+00 |  1.412253e-03 |  7.324219e-04 |       1
 265 |  1.344251e+00 |  1.316650e-03 |  7.324219e-04 |       0
 266 |  1.344250e+00 |  1.669296e-03 |  7.324219e-04 |       0
 267 |  1.344249e+00 |  9.181504e-04 |  7.324219e-04 |       0
Terminated: 1: Terminated in epsilon-stationary point.
